part_no,value,volume,ESR,ESL
EKZE250Exx101MF11D,100,0.343,222.8169203286535,4.389e-07
EKZE250Exx221MHB5D,220,0.578,101.28041833120614,1.995e-07
EKZE250Exx331MH15D,330,0.754,67.52027888747077,1.33e-07
EKZE250Exx331MJC5S,330,0.982,67.52027888747077,1.33e-07
EKZE250Exx471MH20D,470,1.005,47.407855389075216,9.34e-08
EKZE250Exx471MJ16S,470,1.257,47.407855389075216,9.34e-08
EKZE250Exx681MJ20S,680,1.571,32.76719416597846,6.45e-08
EKZE250Exx101MF11D+EKZE250Exx101MF11D,50.0,0.686,445.633840657307,8.778e-07
EKZE250Exx101MF11D+EKZE250Exx102MK20S,90.9090909090909,2.797,245.0986123615189,4.828e-07
EKZE250Exx101MF11D+EKZE250Exx152MK25S,93.75,3.411,237.67138168389707,4.682e-07
EKZE250Exx101MF11D+EKZE250Exx182MK30S,94.73684210526316,4.024,235.1956381246898,4.633e-07
EKZE250Exx101MF11D+EKZE250Exx182ML20S,94.73684210526316,4.364,235.1956381246898,4.633e-07
EKZE250Exx101MF11D+EKZE250Exx221MHB5D,68.75,0.921,324.09733865985964,6.384e-07
EKZE250Exx101MF11D+EKZE250Exx222MK35S,95.65217391304348,4.638,232.94496216177413,4.588e-07
EKZE250Exx101MF11D+EKZE250Exx272ML25S,96.42857142857143,5.369,231.06939885934437,4.552e-07
EKZE250Exx101MF11D+EKZE250Exx331MH15D,76.74418604651163,1.097,290.33719921612425,5.719e-07
EKZE250Exx101MF11D+EKZE250Exx331MJC5S,76.74418604651163,1.325,290.33719921612425,5.719e-07
EKZE250Exx101MF11D+EKZE250Exx471MH20D,82.45614035087719,1.348,270.22477571772873,5.323e-07
EKZE250Exx101MF11D+EKZE250Exx471MJ16S,82.45614035087719,1.6,270.22477571772873,5.323e-07
EKZE250Exx101MF11D+EKZE250Exx681MJ20S,87.17948717948718,1.914,255.58411449463196,5.034e-07
EKZE250Exx101MF11D+EKZE250Exx821MJ25S,89.1304347826087,2.306,249.9897154906844,4.924e-07
EKZE250Exx102MK20S+EKZE250Exx102MK20S,500.0,4.909,44.5633840657307,8.78e-08
EKZE250Exx102MK20S+EKZE250Exx152MK25S,600.0,5.522,37.136153388108916,7.32e-08
EKZE250Exx102MK20S+EKZE250Exx182MK30S,642.8571428571429,6.136,34.660409828901656,6.83e-08
EKZE250Exx102MK20S+EKZE250Exx182ML20S,642.8571428571429,6.476,34.660409828901656,6.83e-08
EKZE250Exx102MK20S+EKZE250Exx221MHB5D,180.327868852459,3.032,123.5621103640715,2.434e-07
EKZE250Exx102MK20S+EKZE250Exx222MK35S,687.5,6.75,32.40973386598597,6.38e-08
EKZE250Exx102MK20S+EKZE250Exx331MH15D,248.1203007518797,3.208,89.8019709203361,1.769e-07
EKZE250Exx102MK20S+EKZE250Exx331MJC5S,248.1203007518797,3.436,89.8019709203361,1.769e-07
EKZE250Exx102MK20S+EKZE250Exx471MH20D,319.7278911564626,3.46,69.68954742194056,1.373e-07
EKZE250Exx102MK20S+EKZE250Exx471MJ16S,319.7278911564626,3.711,69.68954742194056,1.373e-07
EKZE250Exx102MK20S+EKZE250Exx681MJ20S,404.76190476190476,4.025,55.04888619884381,1.084e-07
EKZE250Exx102MK20S+EKZE250Exx821MJ25S,450.54945054945057,4.418,49.45448719489627,9.74e-08
EKZE250Exx152MK25S+EKZE250Exx221MHB5D,191.86046511627907,3.646,116.13487968644971,2.288e-07
EKZE250Exx152MK25S+EKZE250Exx331MH15D,270.4918032786885,3.822,82.37474024271432,1.623e-07
EKZE250Exx152MK25S+EKZE250Exx331MJC5S,270.4918032786885,4.05,82.37474024271432,1.623e-07
