part_no,value,volume,ESR,ESL
EKZE250Exx101MF11D+EKZE250Exx101MF11D,50,0.686,445.6338407,8.78E-07
EKZE250Exx101MF11D+EKZE250Exx221MHB5D,68.75,0.921,324.0973387,6.38E-07
EKZE250Exx470ME11D+EKZE250Exx470ME11D/EKZE250Exx470ME11D,70.5,0.648,316.0523693,6.23E-07
EKZE250Exx101MF11D+EKZE250Exx331MH15D,76.74418605,1.097,290.3371992,5.72E-07
EKZE250Exx101MF11D+EKZE250Exx331MJC5S,76.74418605,1.325,290.3371992,5.72E-07
EKZE250Exx101MF11D+EKZE250Exx470ME11D/EKZE250Exx470ME11D,78.97278912,0.775,282.1439167,5.56E-07
EKZE250Exx101MF11D+EKZE250Exx471MH20D,82.45614035,1.348,270.2247757,5.32E-07
EKZE250Exx101MF11D+EKZE250Exx471MJ16S,82.45614035,1.6,270.2247757,5.32E-07
EKZE250Exx221MHB5D+EKZE250Exx470ME11D/EKZE250Exx470ME11D,85.72659176,1.01,259.9157575,5.12E-07
EKZE250Exx101MF11D+EKZE250Exx681MJ20S,87.17948718,1.914,255.5841145,5.03E-07
EKZE250Exx331MH15D+EKZE250Exx470ME11D/EKZE250Exx470ME11D,88.14058355,1.186,252.7971921,4.98E-07
EKZE250Exx331MJC5S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,88.14058355,1.414,252.7971921,4.98E-07
EKZE250Exx101MF11D+EKZE250Exx821MJ25S,89.13043478,2.306,249.9897155,4.92E-07
EKZE250Exx470ME11D+EKZE250Exx471MH20D/EKZE250Exx470ME11D,89.72727273,1.437,248.3268616,4.89E-07
EKZE250Exx470ME11D+EKZE250Exx471MJ16S/EKZE250Exx470ME11D,89.72727273,1.689,248.3268616,4.89E-07
EKZE250Exx101MF11D+EKZE250Exx102MK20S,90.90909091,2.797,245.0986124,4.83E-07
EKZE250Exx470ME11D+EKZE250Exx681MJ20S/EKZE250Exx470ME11D,90.96148556,2.003,244.9574333,4.83E-07
EKZE250Exx470ME11D+EKZE250Exx821MJ25S/EKZE250Exx470ME11D,91.45213379,2.395,243.6432165,4.80E-07
EKZE250Exx102MK20S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,91.89016237,2.886,242.4818006,4.78E-07
EKZE250Exx152MK25S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,92.57207498,3.5,240.6956097,4.74E-07
EKZE250Exx182MK30S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,92.8040065,4.114,240.0940743,4.73E-07
EKZE250Exx182ML20S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,92.8040065,4.453,240.0940743,4.73E-07
EKZE250Exx222MK35S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,93.01691144,4.727,239.5445268,4.72E-07
EKZE250Exx272ML25S+EKZE250Exx470ME11D/EKZE250Exx470ME11D,93.19585002,5.459,239.0845947,4.71E-07
EKZE250Exx101MF11D+EKZE250Exx152MK25S,93.75,3.411,237.6713817,4.68E-07
EKZE250Exx470ME11D/EKZE250Exx470ME11D,94,0.432,237.0392769,4.67E-07
EKZE250Exx101MF11D+EKZE250Exx182MK30S,94.73684211,4.024,235.1956381,4.63E-07
EKZE250Exx101MF11D+EKZE250Exx182ML20S,94.73684211,4.364,235.1956381,4.63E-07
EKZE250Exx101MF11D+EKZE250Exx222MK35S,95.65217391,4.638,232.9449622,4.59E-07
EKZE250Exx101MF11D+EKZE250Exx272ML25S,96.42857143,5.369,231.0693989,4.55E-07
EKZE250Exx101MF11D+EKZE250Exx101MF11D/EKZE250Exx470ME11D,97,0.902,229.7081653,4.53E-07
EKZE250Exx101MF11D,100,0.343,222.8169203,4.39E-07
EKZE250Exx221MHB5D+EKZE250Exx221MHB5D,110,1.156,202.5608367,3.99E-07
