ind_core,ind_value,ind_RL,ind_N,ind_volume
T106-75-200,148.8,0.029618,40,6.305
T106-75-200,156.33,0.030358,41,6.305
T106-75-200,164.05,0.031098,42,6.305
T106-75-200,171.96,0.031839,43,6.305
T106-75-200,180.05,0.032579,44,6.305
T106-75-200,188.33,0.03332,45,6.305
T106-75-200,196.79,0.03406,46,6.305
T106-75-200,205.44,0.034801,47,6.305
T106-75-200,214.27,0.035541,48,6.305
T106-75-200,223.29,0.036282,49,6.305
T106-75-200,232.5,0.037022,50,6.305
T106-75-200,241.89,0.037762,51,6.305
T106-75-200,251.47,0.038503,52,6.305
T106-75-200,261.24,0.039243,53,6.305
T106-75-200,271.19,0.039984,54,6.305
T106-75-200,281.32,0.040724,55,6.305
T106-75-200,291.65,0.041465,56,6.305
T106-75-200,302.16,0.042205,57,6.305
T106-75-200,312.85,0.042946,58,6.305
T106-75-200,323.73,0.043686,59,6.305
T106-75-200,334.8,0.044426,60,6.305
T106-75-200,346.05,0.045167,61,6.305
T106-75-200,357.49,0.045907,62,6.305
T106-75-200,369.12,0.046648,63,6.305
T106-75-200,380.93,0.047388,64,6.305
T106-75-200,392.93,0.048129,65,6.305
T106-75-200,405.11,0.048869,66,6.305
T106-75-200,417.48,0.049609,67,6.305
T106-75-200,430.03,0.05035,68,6.305
T106-75-200,442.77,0.05109,69,6.305
T106-75-200,455.7,0.051831,70,6.305
T106-75-200,468.81,0.052571,71,6.305
T106-75-200,482.11,0.053312,72,6.305
T106-75-200,495.6,0.054052,73,6.305
T106-75-200,509.27,0.054793,74,6.305
T131-75-200,520.72,0.055775,67,9.489
T131-75-200,536.38,0.056607,68,9.489
T131-75-200,552.28,0.05744,69,9.489
T131-75-200,568.4,0.058272,70,9.489
T131-75-200,584.76,0.059105,71,9.489
T131-75-200,601.34,0.059937,72,9.489
T131-75-200,618.16,0.06077,73,9.489
T131-75-200,635.22,0.061602,74,9.489
T131-75-200,652.5,0.062435,75,9.489
T131-75-200,670.02,0.063267,76,9.489
T131-75-200,687.76,0.064099,77,9.489
T131-75-200,705.74,0.064932,78,9.489
T131-75-200,723.96,0.065764,79,9.489
T131-75-200,742.4,0.066597,80,9.489
T131-75-200,761.08,0.067429,81,9.489
T131-75-200,779.98,0.068262,82,9.489
T131-75-200,799.12,0.069094,83,9.489
T131-75-200,818.5,0.069927,84,9.489
T131-75-200,838.1,0.070759,85,9.489
T131-75-200,857.94,0.071592,86,9.489
T131-75-200,878.0,0.072424,87,9.489
T131-75-200,898.3,0.073256,88,9.489
T131-75-200,918.84,0.074089,89,9.489
T131-75-200,939.6,0.074921,90,9.489
T131-75-200,960.6,0.075754,91,9.489
T131-75-200,981.82,0.076586,92,9.489
T80-75-200,101.61,0.020418,47,2.034
T80-75-200,105.98,0.020852,48,2.034
T80-75-200,110.45,0.021287,49,2.034
T80-75-200,115.0,0.021721,50,2.034
T80-75-200,119.65,0.022155,51,2.034
T80-75-200,124.38,0.02259,52,2.034
T80-75-200,129.21,0.023024,53,2.034
T80-75-200,134.14,0.023459,54,2.034
T80-75-200,139.15,0.023893,55,2.034
T80-75-200,144.26,0.024328,56,2.034
