fsw,cap,ind,pl_c
20000,4.70E-05,0.0001,0.0396745
20000,4.70E-05,0.000147368,0.0183826
20000,4.70E-05,0.000194737,0.0105615
20000,4.70E-05,0.000242105,0.00685116
20000,4.70E-05,0.000289474,0.00480504
20000,4.70E-05,0.000336842,0.00355854
20000,4.70E-05,0.000384211,0.00274024
20000,4.70E-05,0.000431579,0.00217704
20000,4.70E-05,0.000478947,0.00177164
20000,4.70E-05,0.000526316,0.00147093
20000,4.70E-05,0.000573684,0.00124072
20000,4.70E-05,0.000621053,0.00106101
20000,4.70E-05,0.000668421,0.000917208
20000,4.70E-05,0.000715789,0.000801688
20000,4.70E-05,0.000763158,0.000706601
20000,4.70E-05,0.000810526,0.000627431
20000,4.70E-05,0.000857895,0.000560979
20000,4.70E-05,0.000905263,0.000504643
20000,4.70E-05,0.000952632,0.000456432
20000,4.70E-05,0.001,0.000414793
20000,8.27E-05,0.0001,0.0228532
20000,8.27E-05,0.000147368,0.0106024
20000,8.27E-05,0.000194737,0.00609204
20000,8.27E-05,0.000242105,0.00395163
20000,8.27E-05,0.000289474,0.00277186
20000,8.27E-05,0.000336842,0.00205272
20000,8.27E-05,0.000384211,0.00158223
20000,8.27E-05,0.000431579,0.00125696
20000,8.27E-05,0.000478947,0.00102304
20000,8.27E-05,0.000526316,0.000849221
20000,8.27E-05,0.000573684,0.00071624
20000,8.27E-05,0.000621053,0.000612391
20000,8.27E-05,0.000668421,0.000529538
20000,8.27E-05,0.000715789,0.000462766
20000,8.27E-05,0.000763158,0.000407805
20000,8.27E-05,0.000810526,0.000362191
20000,8.27E-05,0.000857895,0.000323792
20000,8.27E-05,0.000905263,0.000291306
20000,8.27E-05,0.000952632,0.000263474
20000,8.27E-05,0.001,0.000239457
20000,0.000118474,0.0001,0.0160525
20000,0.000118474,0.000147368,0.00744642
20000,0.000118474,0.000194737,0.00427755
20000,0.000118474,0.000242105,0.00277665
20000,0.000118474,0.000289474,0.00194803
20000,0.000118474,0.000336842,0.00144246
20000,0.000118474,0.000384211,0.00111161
20000,0.000118474,0.000431579,0.000883153
20000,0.000118474,0.000478947,0.000718756
20000,0.000118474,0.000526316,0.000596728
20000,0.000118474,0.000573684,0.000503272
20000,0.000118474,0.000621053,0.000430323
20000,0.000118474,0.000668421,0.000372118
20000,0.000118474,0.000715789,0.000325155
20000,0.000118474,0.000763158,0.00028656
20000,0.000118474,0.000810526,0.00025449
20000,0.000118474,0.000857895,0.000227533
20000,0.000118474,0.000905263,0.000204688
20000,0.000118474,0.000952632,0.000185132
20000,0.000118474,0.001,0.000168269
20000,0.000154211,0.0001,0.0123665
20000,0.000154211,0.000147368,0.00573549
20000,0.000154211,0.000194737,0.0032968
20000,0.000154211,0.000242105,0.00214013
20000,0.000154211,0.000289474,0.00150127
20000,0.000154211,0.000336842,0.00111177
20000,0.000154211,0.000384211,0.000856785
20000,0.000154211,0.000431579,0.000680651
20000,0.000154211,0.000478947,0.000553983
20000,0.000154211,0.000526316,0.000459904
20000,0.000154211,0.000573684,0.000387887
20000,0.000154211,0.000621053,0.000331665
20000,0.000154211,0.000668421,0.000286824
20000,0.000154211,0.000715789,0.00025062
20000,0.000154211,0.000763158,0.000220864
20000,0.000154211,0.000810526,0.000196145
20000,0.000154211,0.000857895,0.00017537
20000,0.000154211,0.000905263,0.000157764
20000,0.000154211,0.000952632,0.000142686
20000,0.000154211,0.001,0.000129694
20000,0.000189947,0.0001,0.0100572
20000,0.000189947,0.000147368,0.00466506
20000,0.000189947,0.000194737,0.00268193
20000,0.000189947,0.000242105,0.00174081
20000,0.000189947,0.000289474,0.00122126
20000,0.000189947,0.000336842,0.000904371
20000,0.000189947,0.000384211,0.000696929
20000,0.000189947,0.000431579,0.000553683
20000,0.000189947,0.000478947,0.000450638
20000,0.000189947,0.000526316,0.000374105
20000,0.000189947,0.000573684,0.000315532
20000,0.000189947,0.000621053,0.000269799
20000,0.000189947,0.000668421,0.000233322
20000,0.000189947,0.000715789,0.000203879
